# Traditional Chinese source|English|Japanese|Korean|Spanish
切換語言|Change language|言語を切り替え|언어 변경|Cambiar idioma
選擇語言|Choose language|言語を選択|언어 선택|Elegir idioma
取消|Cancel|キャンセル|취소|Cancelar
確定|OK|確定|확인|Aceptar
知道了|Got it|了解|알겠어요|Entendido
返回|Back|戻る|뒤로|Volver
關閉|Close|閉じる|닫기|Cerrar
繼續|Continue|続ける|계속|Continuar
保留|Keep|残す|유지|Conservar
刪除|Delete|削除|삭제|Eliminar
儲存|Save|保存|저장|Guardar
捨棄|Discard|破棄|버리기|Descartar
套用|Apply|適用|적용|Aplicar
把日常寫下，讓喜歡的陪在桌面。|Write down your day and keep what you love on your home screen.|日々を書き留めて、お気に入りをホーム画面に。|일상을 기록하고 좋아하는 것을 홈 화면에 두세요.|Escribe tu día y lleva lo que te gusta a la pantalla de inicio.
＋  寫一篇新筆記|＋  New note|＋  新しいメモ|＋  새 메모|＋  Nueva nota
我的筆記  ·  %1$d|My notes  ·  %1$d|マイメモ  ·  %1$d|내 메모  ·  %1$d|Mis notas  ·  %1$d
這一頁，留給你|A page just for you|あなただけのページ|당신을 위한 페이지|Una página para ti
寫下今天的小事，插入喜歡的小人貼圖，再放到桌面隨時看見。|Write about today, add a favorite sticker, and keep it on your home screen.|今日の出来事を書き、お気に入りのステッカーを添えてホーム画面に。|오늘의 일을 쓰고 좋아하는 스티커를 넣어 홈 화면에 두세요.|Escribe sobre tu día, añade una pegatina y pon la nota en tu pantalla de inicio.
分類：%1$s|Category: %1$s|カテゴリー：%1$s|분류: %1$s|Categoría: %1$s
輸入密碼後才能查看內容|Enter the password to view this note|パスワードを入力すると表示できます|암호를 입력하면 볼 수 있습니다|Introduce la contraseña para ver esta nota
只有標題，也是一篇筆記。|A title is a note, too.|タイトルだけでもメモです。|제목만 있어도 메모예요.|Un título también puede ser una nota.
   ·   點一下輸入密碼|   ·   Tap to enter password|   ·   タップしてパスワードを入力|   ·   탭하여 암호 입력|   ·   Toca para introducir la contraseña
   ·   點一下繼續編輯|   ·   Tap to edit|   ·   タップして編集|   ·   탭하여 편집|   ·   Toca para editar
✧  加到桌面小工具|✧  Add home screen widget|✧  ウィジェットを追加|✧  홈 화면 위젯 추가|✧  Añadir widget a inicio
備份筆記到檔案|Back up notes to a file|メモをファイルにバックアップ|메모를 파일로 백업|Guardar notas en un archivo
從備份檔還原|Restore from backup file|バックアップファイルから復元|백업 파일에서 복원|Restaurar desde archivo
可在系統檔案選擇器選擇手機或已連接的 Google Drive 等儲存空間。|Choose your phone or a connected Google Drive in the system file picker.|システムのファイル選択画面で端末や接続済みの Google ドライブを選べます。|시스템 파일 선택기에서 휴대전화나 연결된 Google Drive를 선택할 수 있습니다.|Elige el teléfono o Google Drive conectado en el selector de archivos del sistema.
貼圖來源與使用說明|Stickers: source and help|ステッカーの出典と使い方|스티커 출처 및 도움말|Origen y uso de las pegatinas
解除加密|Remove encryption|暗号化を解除|암호화 해제|Quitar cifrado
加密筆記|Encrypt note|メモを暗号化|메모 암호화|Cifrar nota
刪除筆記|Delete note|メモを削除|메모 삭제|Eliminar nota
設定這篇筆記的密碼|Set a password for this note|このメモのパスワードを設定|이 메모의 암호 설정|Crear contraseña para esta nota
標題、內容、分類和附件會一起加密。忘記密碼就無法解鎖或還原這篇筆記，請妥善保存。|The title, text, category, and attachments will be encrypted. If you forget the password, this note cannot be unlocked or restored. Keep it safe.|タイトル、本文、カテゴリー、添付ファイルを暗号化します。パスワードを忘れると解除も復元もできません。大切に保管してください。|제목, 내용, 분류, 첨부 파일을 암호화합니다. 암호를 잊으면 잠금을 풀거나 복원할 수 없으니 안전하게 보관하세요.|Se cifrarán el título, el texto, la categoría y los adjuntos. Si olvidas la contraseña, no podrás abrir ni restaurar la nota. Guárdala bien.
正在加密筆記|Encrypting note|メモを暗号化しています|메모 암호화 중|Cifrando nota
筆記已加密|Note encrypted|メモを暗号化しました|메모가 암호화되었습니다|Nota cifrada
加密失敗：%1$s|Encryption failed: %1$s|暗号化に失敗：%1$s|암호화 실패: %1$s|Error al cifrar: %1$s
請重試|Please try again|もう一度お試しください|다시 시도하세요|Inténtalo de nuevo
解除筆記加密|Remove note encryption|メモの暗号化を解除|메모 암호화 해제|Quitar cifrado de la nota
解除後，筆記與附件會以一般方式保存在這台裝置。|The note and attachments will then be stored normally on this device.|解除すると、メモと添付ファイルはこの端末に通常の形式で保存されます。|해제하면 메모와 첨부 파일이 이 기기에 일반 형식으로 저장됩니다.|La nota y sus adjuntos se guardarán sin cifrado en este dispositivo.
正在解除加密|Removing encryption|暗号化を解除しています|암호화 해제 중|Quitando cifrado
已解除加密|Encryption removed|暗号化を解除しました|암호화가 해제되었습니다|Cifrado eliminado
無法解除加密：%1$s|Could not remove encryption: %1$s|暗号化を解除できません：%1$s|암호화를 해제할 수 없음: %1$s|No se pudo quitar el cifrado: %1$s
密碼錯誤|Incorrect password|パスワードが違います|암호가 틀렸습니다|Contraseña incorrecta
刪除這篇筆記？|Delete this note?|このメモを削除しますか？|이 메모를 삭제할까요?|¿Eliminar esta nota?
刪除後無法復原。|This cannot be undone.|元に戻せません。|삭제 후 복구할 수 없습니다.|No se puede deshacer.
輸入密碼以刪除|Enter password to delete|削除するにはパスワードを入力|삭제하려면 암호 입력|Introduce la contraseña para eliminar
加密筆記需要密碼才能刪除。|A password is required to delete an encrypted note.|暗号化されたメモの削除にはパスワードが必要です。|암호화된 메모를 삭제하려면 암호가 필요합니다.|Necesitas la contraseña para eliminar una nota cifrada.
正在刪除筆記|Deleting note|メモを削除しています|메모 삭제 중|Eliminando nota
刪除失敗：%1$s|Deletion failed: %1$s|削除に失敗：%1$s|삭제 실패: %1$s|Error al eliminar: %1$s
刪除失敗，請重試|Could not delete. Try again.|削除できませんでした。再試行してください。|삭제할 수 없습니다. 다시 시도하세요.|No se pudo eliminar. Inténtalo de nuevo.
設定備份密碼|Set backup password|バックアップのパスワードを設定|백업 암호 설정|Crear contraseña de copia
備份檔會加密所有筆記和附件。忘記這個密碼，就無法從備份還原；請與單篇筆記密碼分別保存。|The backup encrypts all notes and attachments. If you forget this password, you cannot restore it. Keep it separate from note passwords.|バックアップではすべてのメモと添付ファイルを暗号化します。パスワードを忘れると復元できません。メモのパスワードとは別に保管してください。|백업은 모든 메모와 첨부 파일을 암호화합니다. 암호를 잊으면 복원할 수 없으니 메모 암호와 별도로 보관하세요.|La copia cifra todas las notas y los adjuntos. Si olvidas esta contraseña, no podrás restaurarla. Guárdala aparte de las contraseñas de las notas.
無法開啟檔案選擇器|Could not open file picker|ファイル選択画面を開けません|파일 선택기를 열 수 없습니다|No se pudo abrir el selector de archivos
從備份還原|Restore from backup|バックアップから復元|백업에서 복원|Restaurar copia
備份中的筆記會新增到這台裝置，現有筆記不會被覆蓋。重複還原會新增重複筆記。|Notes from the backup will be added to this device. Existing notes remain unchanged. Restoring twice creates duplicates.|バックアップのメモをこの端末に追加します。既存のメモは上書きされません。再度復元すると重複します。|백업의 메모가 이 기기에 추가됩니다. 기존 메모는 덮어쓰지 않습니다. 다시 복원하면 중복됩니다.|Las notas de la copia se añadirán a este dispositivo. Las notas actuales no se sobrescribirán. Restaurar dos veces creará duplicados.
選擇備份檔|Choose backup file|バックアップファイルを選択|백업 파일 선택|Elegir archivo de copia
重新設定備份密碼|Reset backup password|バックアップのパスワードを再設定|백업 암호 재설정|Restablecer contraseña de copia
請設定至少 5 個字元。|Use at least 5 characters.|5文字以上で設定してください。|5자 이상으로 설정하세요.|Usa al menos 5 caracteres.
輸入備份密碼|Enter backup password|バックアップのパスワードを入力|백업 암호 입력|Introduce la contraseña de copia
密碼錯誤或檔案損壞時，現有筆記不會改動。|If the password is wrong or the file is damaged, your current notes will not change.|パスワードが違う場合やファイルが破損している場合、現在のメモは変更されません。|암호가 틀리거나 파일이 손상되면 현재 메모는 변경되지 않습니다.|Si la contraseña es incorrecta o el archivo está dañado, tus notas actuales no cambiarán.
正在建立備份|Creating backup|バックアップを作成しています|백업 생성 중|Creando copia
已備份 %1$d 篇筆記|Backed up %1$d notes|%1$d 件のメモをバックアップしました|메모 %1$d개를 백업했습니다|Se guardaron %1$d notas
備份失敗：%1$s|Backup failed: %1$s|バックアップに失敗：%1$s|백업 실패: %1$s|Error de copia: %1$s
正在驗證並還原備份|Verifying and restoring backup|バックアップを確認して復元中|백업 확인 및 복원 중|Verificando y restaurando copia
已還原 %1$d 篇筆記|Restored %1$d notes|%1$d 件のメモを復元しました|메모 %1$d개를 복원했습니다|Se restauraron %1$d notas
還原失敗：%1$s|Restore failed: %1$s|復元に失敗：%1$s|복원 실패: %1$s|Error al restaurar: %1$s
密碼錯誤或檔案損壞|Incorrect password or damaged file|パスワードが違うかファイルが破損しています|암호가 틀리거나 파일이 손상되었습니다|Contraseña incorrecta o archivo dañado
加入桌面|Add to home screen|ホーム画面に追加|홈 화면에 추가|Añadir a inicio
長按桌面空白處 → 小工具 → 小小筆記。放到空白桌面頁，再長按調整大小。|Long-press an empty spot on your home screen → Widgets → 小小筆記. Place it on an empty page, then long-press to resize.|ホーム画面の空白を長押し → ウィジェット → 小小筆記。空いているページに置き、長押ししてサイズを調整してください。|홈 화면 빈 곳을 길게 누르기 → 위젯 → 小小筆記. 빈 페이지에 놓고 길게 눌러 크기를 조절하세요.|Mantén pulsada un área vacía de inicio → Widgets → 小小筆記. Colócalo y mantén pulsado para cambiar su tamaño.
筆記讀取失敗，請重新開啟重試|Could not load notes. Reopen the app and try again.|メモを読み込めません。アプリを開き直してください。|메모를 불러올 수 없습니다. 앱을 다시 여세요.|No se pudieron cargar las notas. Vuelve a abrir la app.
筆記讀取失敗，請重試|Could not load notes. Try again.|メモを読み込めません。再試行してください。|메모를 불러올 수 없습니다. 다시 시도하세요.|No se pudieron cargar las notas. Inténtalo de nuevo.
無法開啟筆記|Could not open note|メモを開けません|메모를 열 수 없습니다|No se pudo abrir la nota
無法還原草稿，請重新開啟筆記|Could not restore draft. Reopen the note.|下書きを復元できません。メモを開き直してください。|임시 저장을 복원할 수 없습니다. 메모를 다시 여세요.|No se pudo recuperar el borrador. Vuelve a abrir la nota.
🔒 加密筆記|🔒 Encrypted note|🔒 暗号化されたメモ|🔒 암호화된 메모|🔒 Nota cifrada
未命名筆記|Untitled note|無題のメモ|제목 없는 메모|Nota sin título
輸入密碼後才能檢視和編輯。忘記密碼就無法還原。|Enter the password to view or edit. If you forget it, the note cannot be restored.|表示・編集にはパスワードが必要です。忘れると復元できません。|보거나 편집하려면 암호가 필요합니다. 잊으면 복원할 수 없습니다.|Introduce la contraseña para ver o editar. Si la olvidas, no podrás restaurar la nota.
輸入密碼|Enter password|パスワードを入力|암호 입력|Introducir contraseña
返回筆記列表|Back to notes|メモ一覧に戻る|메모 목록으로|Volver a notas
解鎖筆記|Unlock note|メモのロックを解除|메모 잠금 해제|Desbloquear nota
密碼只用於解鎖這篇筆記；忘記密碼就無法還原。|This password unlocks only this note. If you forget it, the note cannot be restored.|このパスワードはこのメモの解除にのみ使います。忘れると復元できません。|이 암호는 이 메모의 잠금 해제에만 사용됩니다. 잊으면 복원할 수 없습니다.|Esta contraseña solo desbloquea esta nota. Si la olvidas, no podrás restaurarla.
正在解鎖|Unlocking|ロックを解除しています|잠금 해제 중|Desbloqueando
解鎖失敗：密碼錯誤或資料損壞|Could not unlock: wrong password or damaged data|解除できません：パスワードが違うかデータが破損しています|잠금을 풀 수 없습니다: 암호가 틀리거나 데이터가 손상되었습니다|No se pudo desbloquear: contraseña incorrecta o datos dañados
新的日常|New note|新しいメモ|새 메모|Nueva nota
